size,total_sqft,bath,balcony,built_up,carpet,plot,immediate,readymove
2,1056,2,1,0,0,0,0,0
4,2600,5,3,0,0,1,0,1
3,1440,2,3,1,0,0,0,1
3,1521,3,1,0,0,0,0,1
2,1200,2,1,0,0,0,0,1
2,1170,2,1,0,0,0,0,1
4,2732,4,1.584375738,0,0,0,0,0
4,3300,4,1.584375738,0,0,0,0,1
3,1310,3,1,0,0,0,0,1
6,1020,6,1.584375738,0,0,1,0,1
3,1800,2,2,0,0,0,0,0
4,2785,5,3,0,0,1,0,1
2,1000,2,1,0,0,0,0,1
2,1100,2,2,1,0,0,0,1
3,2250,3,2,0,0,1,0,1
2,1175,2,2,0,0,0,0,1
3,1180,3,2,0,0,0,0,1
3,1540,3,3,0,0,0,0,1
3,2770,4,2,0,0,0,0,1
2,1100,2,2,0,0,0,0,1
1,600,1,1,1,0,0,0,1
3,1755,3,1,0,0,0,0,0
4,2800,5,2,0,0,1,0,1
3,1767,3,1,0,0,0,0,1
1,510,1,0,0,0,0,0,0
3,1250,3,2,0,0,0,0,0
2,660,1,1,0,0,0,0,1
3,1610,3,2,1,0,0,0,0
2,1151,2,2,0,0,0,0,0
3,1025,2,1,0,0,0,0,1
4,2475,4,0,0,0,0,0,0
3,1075,2,1,0,0,0,0,1
3,1760,2,2,0,0,0,0,1
3,1693,3,3,0,0,0,0,1
3,1925,3,1.584375738,1,0,0,0,1
2,700,2,1,0,0,0,0,0
2,1070,2,1,0,0,0,0,1
3,1724,3,2,0,0,0,0,1
3,1290,2,2,0,0,0,0,1
2,1143,2,2,1,0,0,0,1
2,1296,2,1.584375738,1,0,0,0,1
3,1254,3,2,0,0,0,0,0
1,600,1,0,0,0,0,0,1
1,660,1,0,0,0,1,0,1
2,1330.74,2,2,0,0,0,0,0
8,600,9,1.584375738,0,0,1,0,1
2,970,2,0,0,0,0,0,1
2,1459,2,1,0,0,0,0,0
2,800,1,1,0,0,1,0,1
2,869,2,1,1,0,0,0,1
2,1270,2,1,0,0,0,0,1
3,1670,3,1,0,0,0,0,0
3,2010,3,2,1,0,0,0,1
2,1185,2,2,0,0,0,0,1
3,1600,2,3,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
4,3210,2.692510947,1.584375738,1,0,0,0,0
2,1500,2,2,0,0,0,0,1
6,1407,4,1,0,0,1,0,1
2,840,2,2,0,0,0,0,1
3,4395,3,2,0,0,1,0,1
2,845,2,1,0,0,0,0,1
4,5700,5,3,0,0,1,0,1
2,1160,2,2,1,0,0,0,1
8,3000,8,0,1,0,0,0,1
2,1100,2,1,0,0,0,0,1
2,1140,2,3,0,0,0,0,0
2,1220,2,1,0,0,0,0,1
8,1350,7,0,0,0,1,0,1
2,1005,2,1,0,0,0,0,1
3,500,3,2,0,0,1,0,1
2,1358,2,1,0,0,0,0,0
3,1569,3,1,0,0,0,0,1
2,1240,2,1,0,0,0,0,0
3,2089,3,2,0,0,0,0,1
2,1206,2,1,0,0,0,0,1
2,1150,2,3,0,0,0,0,1
3,2511,3,3,1,0,0,0,1
2,460,1,0,1,0,0,0,1
6,4400,6,3,1,0,0,0,1
3,1660,2,2,0,0,0,0,1
4,3203.5,2.692510947,1.584375738,1,0,0,0,0
2,1326,2,2,0,0,0,0,0
3,1325,2,2,0,0,0,0,1
3,1499,5,2,0,0,0,0,1
6,3000,7,2,1,0,0,0,1
3,1665,3,2,0,0,0,0,1
2,708,2,2,0,0,0,0,0
2,1060,2,2,0,0,0,0,1
6,710,6,3,0,0,1,0,1
2,1000,2,2,1,0,0,0,1
2,1000,2,1,0,0,0,0,0
3,1450,2,2,0,0,0,0,1
4,1200,4,2,0,0,1,0,1
2,1296,2,3,0,0,0,0,0
3,1540,3,2,0,0,0,0,1
4,2894,4,1,0,0,1,0,1
3,1330,2,1,0,0,0,0,1
2,1200,2,1,1,0,0,0,1
3,1200,3,1,1,0,0,0,1
3,2502,3,3,0,0,0,0,1
2,650,1,1,1,0,0,0,1
3,2400,2,1,0,0,1,0,1
2,1007,2,2,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
2,966,2,2,0,0,0,0,1
3,1630,2,1,1,0,0,0,1
3,1640,3,2,1,0,0,0,1
2,782,2,2,1,0,0,0,1
2,1260,2,2,0,0,0,0,0
3,1800,3,3,0,0,0,0,1
3,1413,2,2,0,0,0,0,1
2,1116,2,1,0,0,0,0,1
3,1530,2,1,0,0,0,0,1
4,3700,4,1,1,0,0,0,1
3,2497,3,2,1,0,0,0,1
3,1540,2,3,0,0,0,0,1
3,1436,3,1,0,0,0,0,0
2,1100,2,2,0,0,0,0,0
2,276,3,3,0,0,1,0,1
3,1427,3,2,0,0,0,0,1
3,2061,3,1,0,0,0,0,1
4,5611.5,4,0,0,0,0,0,0
4,2650,4,2,1,0,0,0,1
3,1282,2,2,0,0,0,0,0
2,1050,2,1,1,0,0,0,1
3,1600,3,2,1,0,0,0,1
2,945,2,1,0,0,0,0,0
2,1500,2,1,0,0,0,0,1
7,950,7,0,0,0,1,0,1
3,1870,3,3,1,0,0,0,1
3,1600,3,1,0,0,1,0,1
2,880,1,1,0,0,0,0,1
